cpu_percent,memory_percent,latency_ms,error_count,request_rate,active_pods,predicted_load,service,service_type,action
78,54,178,2,1435,1,75.87,lab_report,non_critical,stable
63,83,350,7,294,2,91.99,emergency,critical,scale_up
58,87,42,6,856,2,61.01,pharmacy,non_critical,stable
87,76,422,9,1770,10,51.38,lab_report,non_critical,scale_up
20,85,385,10,1090,6,76.18,emergency,critical,scale_up
21,5,282,6,198,5,40.6,analytics,non_critical,stable
45,38,358,7,562,3,70.82,patient_monitoring,critical,scale_up
81,8,380,9,689,7,82.28,lab_report,non_critical,scale_up
90,20,446,0,915,7,41.38,analytics,non_critical,scale_up
44,16,266,5,313,7,54.03,analytics,non_critical,stable
23,75,25,1,427,8,37.35,emergency,critical,stable
62,24,56,3,1021,7,45.84,patient_monitoring,critical,scale_up
70,42,143,4,1462,8,64.82,pharmacy,non_critical,scale_down
88,48,426,9,1866,7,30.51,analytics,non_critical,scale_up
56,45,23,6,46,3,43.89,analytics,non_critical,stable
100,95,407,1,1312,2,45.12,analytics,non_critical,scale_up
1,79,248,3,286,7,49.57,pharmacy,non_critical,stable
78,95,254,9,1318,8,95.54,patient_monitoring,critical,scale_up
7,44,67,0,18,7,71.5,pharmacy,non_critical,scale_down
44,16,25,6,358,5,30.02,analytics,non_critical,stable
26,44,360,7,921,3,64.04,emergency,critical,scale_up
18,82,289,9,1267,8,65.03,emergency,critical,scale_up
100,11,139,10,950,5,69.1,emergency,critical,scale_up
70,71,263,5,984,1,84.57,emergency,critical,scale_up
69,51,128,2,1113,6,64.83,pharmacy,non_critical,stable
72,18,172,10,1494,9,61.59,patient_monitoring,critical,scale_up
97,35,389,6,1336,2,100.57,emergency,critical,scale_up
31,49,62,4,84,4,36.57,analytics,non_critical,stable
75,83,55,4,536,8,68.97,emergency,critical,scale_up
6,29,132,5,1130,2,27.16,emergency,critical,scale_up
12,27,62,6,322,6,20.94,emergency,critical,stable
6,11,39,1,566,3,11.33,lab_report,non_critical,stable
21,44,372,8,1388,3,63.68,lab_report,non_critical,scale_up
53,66,171,1,985,10,65.37,patient_monitoring,critical,scale_up
81,13,137,9,435,9,58.97,pharmacy,non_critical,scale_up
26,51,251,5,223,1,53.85,emergency,critical,scale_up
100,26,444,3,1476,10,63.57,patient_monitoring,critical,scale_up
1,78,43,8,11,4,83.36,lab_report,non_critical,scale_up
62,84,116,7,454,9,68.71,pharmacy,non_critical,scale_up
35,62,200,0,1365,9,58.83,analytics,non_critical,scale_down
50,83,357,0,348,7,86.3,lab_report,non_critical,scale_up
87,75,38,5,628,9,71.06,emergency,critical,scale_up
98,5,154,8,1165,9,68.23,analytics,non_critical,scale_up
93,79,181,0,1264,7,90.83,lab_report,non_critical,scale_up
75,29,287,6,63,7,75.03,lab_report,non_critical,stable
28,87,261,9,281,5,66.76,patient_monitoring,critical,scale_up
61,84,39,4,1213,10,62.03,pharmacy,non_critical,scale_down
18,10,49,2,32,3,60.96,emergency,critical,scale_down
64,68,260,3,497,6,79.39,emergency,critical,scale_up
